subject,position,reconstruction,mask,region,dcte
sub-001,none,woBin,volume,WholeVolume,0.9672341589082296
sub-001,up,full,volume,WholeVolume,1.254714473002448
sub-001,up,50p,volume,WholeVolume,1.274570548741092
sub-001,up,75p,volume,WholeVolume,1.0864617703871298
sub-001,up,95p,volume,WholeVolume,0.8615753828614299
sub-001,down,full,volume,WholeVolume,1.2792837149242628
sub-001,down,50p,volume,WholeVolume,1.2335562763176908
sub-001,down,75p,volume,WholeVolume,1.208869792173974
sub-001,down,95p,volume,WholeVolume,0.8289572604380052
sub-001,left,full,volume,WholeVolume,1.271153868176887
sub-001,left,50p,volume,WholeVolume,1.27611146475144
sub-001,left,75p,volume,WholeVolume,1.308570822794199
sub-001,left,95p,volume,WholeVolume,0.9228947072587322
sub-001,right,full,volume,WholeVolume,1.273209066296541
sub-001,right,50p,volume,WholeVolume,1.302124693411624
sub-001,right,75p,volume,WholeVolume,1.114789058420293
sub-001,right,95p,volume,WholeVolume,0.8188661067850485
sub-002,none,woBin,volume,WholeVolume,1.1711427389838869
sub-002,up,full,volume,WholeVolume,1.4485952942269391
sub-002,up,50p,volume,WholeVolume,1.2841127819100313
sub-002,up,75p,volume,WholeVolume,0.9911571497049656
sub-002,up,95p,volume,WholeVolume,0.8303014510992507
sub-002,down,full,volume,WholeVolume,1.5321454969297346
sub-002,down,50p,volume,WholeVolume,1.1256146739630788
sub-002,down,75p,volume,WholeVolume,0.9518944120262474
sub-002,down,95p,volume,WholeVolume,0.7538565744547734
sub-002,left,full,volume,WholeVolume,1.3764715598579036
sub-002,left,50p,volume,WholeVolume,1.2117722975304834
sub-002,left,75p,volume,WholeVolume,0.9828342082394576
sub-002,left,95p,volume,WholeVolume,0.8719287792002659
sub-002,right,full,volume,WholeVolume,1.4085147199449832
sub-002,right,50p,volume,WholeVolume,1.2802492808440686
sub-002,right,75p,volume,WholeVolume,0.9348340268349724
sub-002,right,95p,volume,WholeVolume,0.7420275450080502
sub-003,none,woBin,volume,WholeVolume,1.1483925090705605
sub-003,up,full,volume,WholeVolume,1.4493467261162545
sub-003,up,50p,volume,WholeVolume,1.2974153884091415
sub-003,up,75p,volume,WholeVolume,0.982396161833172
sub-003,up,95p,volume,WholeVolume,0.8017510730097659
sub-003,down,full,volume,WholeVolume,1.3549481703326327
sub-003,down,50p,volume,WholeVolume,1.1709050598570854
sub-003,down,75p,volume,WholeVolume,1.044707928465795
sub-003,down,95p,volume,WholeVolume,0.6557990489412756
sub-003,left,full,volume,WholeVolume,1.3179204763016488
sub-003,left,50p,volume,WholeVolume,1.159902930101991
sub-003,left,75p,volume,WholeVolume,0.9892645419836652
sub-003,left,95p,volume,WholeVolume,0.7021921923567247
sub-003,right,full,volume,WholeVolume,1.4617161178187
sub-003,right,50p,volume,WholeVolume,1.2804789458886183
sub-003,right,75p,volume,WholeVolume,1.0998078538112352
sub-003,right,95p,volume,WholeVolume,0.6720317689552816
sub-001,none,woBin,brain,CSF,49.72466719172159
sub-001,none,woBin,brain,GM,27.303948083542856
sub-001,none,woBin,brain,WM,11.711751626661693
sub-001,none,woBin,brain,Brain,2.149773656367421
sub-001,up,full,brain,CSF,49.11407725123384
sub-001,up,full,brain,GM,27.109391432341656
sub-001,up,full,brain,WM,11.596539049050616
sub-001,up,full,brain,Brain,2.4885867290286128
sub-001,up,50p,brain,CSF,52.29780468647108
sub-001,up,50p,brain,GM,28.63445290249194
sub-001,up,50p,brain,WM,12.245680887312728
sub-001,up,50p,brain,Brain,2.533975642423621
sub-001,up,75p,brain,CSF,49.366385407057415
sub-001,up,75p,brain,GM,27.091158614088386
sub-001,up,75p,brain,WM,11.603379407804224
sub-001,up,75p,brain,Brain,2.28271856524048
sub-001,up,95p,brain,CSF,46.48903264320965
sub-001,up,95p,brain,GM,26.407978979075537
sub-001,up,95p,brain,WM,11.374301543070835
sub-001,up,95p,brain,Brain,2.1730043901750533
sub-001,down,full,brain,CSF,48.92334138095266
sub-001,down,full,brain,GM,27.8459023700085
sub-001,down,full,brain,WM,11.863429000435278
sub-001,down,full,brain,Brain,2.549106399779604
sub-001,down,50p,brain,CSF,48.79980367752657
sub-001,down,50p,brain,GM,27.54525615343841
sub-001,down,50p,brain,WM,11.724280399825778
sub-001,down,50p,brain,Brain,2.4715803776400813
sub-001,down,75p,brain,CSF,52.39176865294949
sub-001,down,75p,brain,GM,29.52282858161264
sub-001,down,75p,brain,WM,12.58869349960117
sub-001,down,75p,brain,Brain,2.514746506100753
sub-001,down,95p,brain,CSF,41.61136388500397
sub-001,down,95p,brain,GM,24.18278069048913
sub-001,down,95p,brain,WM,10.36496009060434
sub-001,down,95p,brain,Brain,1.99347360538915
sub-001,left,full,brain,CSF,47.05803792719532
sub-001,left,full,brain,GM,27.858518011556573
sub-001,left,full,brain,WM,11.849486780665323
sub-001,left,full,brain,Brain,2.555752318441308
sub-001,left,50p,brain,CSF,48.475011024186
sub-001,left,50p,brain,GM,28.426838652156132
sub-001,left,50p,brain,WM,12.070848386485938
sub-001,left,50p,brain,Brain,2.544496414227347
sub-001,left,75p,brain,CSF,54.59193872936244
sub-001,left,75p,brain,GM,32.0288672016787
sub-001,left,75p,brain,WM,13.621874334952505
sub-001,left,75p,brain,Brain,2.738739677148351
sub-001,left,95p,brain,CSF,44.53191681948345
sub-001,left,95p,brain,GM,26.844384471742
sub-001,left,95p,brain,WM,11.471492039674786
sub-001,left,95p,brain,Brain,2.195444126530709
sub-001,right,full,brain,CSF,47.67505411369224
sub-001,right,full,brain,GM,27.15811112128941
sub-001,right,full,brain,WM,11.677417713274814
sub-001,right,full,brain,Brain,2.5451449446023258
sub-001,right,50p,brain,CSF,51.76261751210311
sub-001,right,50p,brain,GM,29.238724921393644
sub-001,right,50p,brain,WM,12.563391203194936
sub-001,right,50p,brain,Brain,2.637559849385831
sub-001,right,75p,brain,CSF,48.707888084901136
sub-001,right,75p,brain,GM,27.60005311705634
sub-001,right,75p,brain,WM,11.888027217311048
sub-001,right,75p,brain,Brain,2.376486843327027
sub-001,right,95p,brain,CSF,40.84038083921288
sub-001,right,95p,brain,GM,23.878135820298475
sub-001,right,95p,brain,WM,10.331116682649826
sub-001,right,95p,brain,Brain,2.0103642674923248
sub-002,none,woBin,brain,CSF,53.77418163070839
sub-002,none,woBin,brain,GM,28.349500444127887
sub-002,none,woBin,brain,WM,11.509557795882264
sub-002,none,woBin,brain,Brain,2.301724872842359
sub-002,up,full,brain,CSF,56.19020569431805
sub-002,up,full,brain,GM,30.017581481818056
sub-002,up,full,brain,WM,12.162855788168043
sub-002,up,full,brain,Brain,2.76178421520571
sub-002,up,50p,brain,CSF,54.20119165821967
sub-002,up,50p,brain,GM,28.651479176169257
sub-002,up,50p,brain,WM,11.593835524328446
sub-002,up,50p,brain,Brain,2.509524933467677
sub-002,up,75p,brain,CSF,46.606767480759736
sub-002,up,75p,brain,GM,24.717371890983905
sub-002,up,75p,brain,WM,10.019413077504558
sub-002,up,75p,brain,Brain,2.0428799448736603
sub-002,up,95p,brain,CSF,44.8159427935021
sub-002,up,95p,brain,GM,24.77177741428808
sub-002,up,95p,brain,WM,10.105845920960572
sub-002,up,95p,brain,Brain,1.9872311019083275
sub-002,down,full,brain,CSF,61.05938141183356
sub-002,down,full,brain,GM,31.68951802765253
sub-002,down,full,brain,WM,12.739335828086004
sub-002,down,full,brain,Brain,2.9399312182810813
sub-002,down,50p,brain,CSF,49.51691369302921
sub-002,down,50p,brain,GM,25.43114537052619
sub-002,down,50p,brain,WM,10.21287429991184
sub-002,down,50p,brain,Brain,2.2297060407102207
sub-002,down,75p,brain,CSF,46.12426376588864
sub-002,down,75p,brain,GM,23.79323668280859
sub-002,down,75p,brain,WM,9.60021887842493
sub-002,down,75p,brain,Brain,2.0011250152208584
sub-002,down,95p,brain,CSF,41.80031653529628
sub-002,down,95p,brain,GM,22.65960333335053
sub-002,down,95p,brain,WM,9.17437528068471
sub-002,down,95p,brain,Brain,1.8582273481527845
sub-002,left,full,brain,CSF,54.06779267413991
sub-002,left,full,brain,GM,28.27087493250673
sub-002,left,full,brain,WM,11.42241491244791
sub-002,left,full,brain,Brain,2.6532022347162334
sub-002,left,50p,brain,CSF,51.32568048615492
sub-002,left,50p,brain,GM,26.600844473625592
sub-002,left,50p,brain,WM,10.739830325305908
sub-002,left,50p,brain,Brain,2.3859758088837566
sub-002,left,75p,brain,CSF,46.09852903156008
sub-002,left,75p,brain,GM,23.96982472539792
sub-002,left,75p,brain,WM,9.707631763025656
sub-002,left,75p,brain,Brain,2.038293842903899
sub-002,left,95p,brain,CSF,47.20999539285276
sub-002,left,95p,brain,GM,25.67387660555695
sub-002,left,95p,brain,WM,10.450778975638812
sub-002,left,95p,brain,Brain,2.133083235596754
sub-002,right,full,brain,CSF,54.39505126282224
sub-002,right,full,brain,GM,28.8559014723444
sub-002,right,full,brain,WM,11.5989842579494
sub-002,right,full,brain,Brain,2.7205374758919967
sub-002,right,50p,brain,CSF,53.94154474632372
sub-002,right,50p,brain,GM,28.33464564162537
sub-002,right,50p,brain,WM,11.382884315472866
sub-002,right,50p,brain,Brain,2.547633539539577
sub-002,right,75p,brain,CSF,42.95892200688625
sub-002,right,75p,brain,GM,22.67714313371409
sub-002,right,75p,brain,WM,9.133481818588534
sub-002,right,75p,brain,Brain,1.9377183779771543
sub-002,right,95p,brain,CSF,40.093462086337546
sub-002,right,95p,brain,GM,22.06545647719786
sub-002,right,95p,brain,WM,8.940489222448464
sub-002,right,95p,brain,Brain,1.8484671327429452
sub-003,none,woBin,brain,CSF,77.29500680318728
sub-003,none,woBin,brain,GM,38.47051278714727
sub-003,none,woBin,brain,WM,15.647370002279189
sub-003,none,woBin,brain,Brain,2.902275357635984
sub-003,up,full,brain,CSF,76.62712324661325
sub-003,up,full,brain,GM,38.67974838036905
sub-003,up,full,brain,WM,15.693805692343078
sub-003,up,full,brain,Brain,3.4440839993836443
sub-003,up,50p,brain,CSF,72.13811495060156
sub-003,up,50p,brain,GM,35.98583387105316
sub-003,up,50p,brain,WM,14.591430095470212
sub-003,up,50p,brain,Brain,3.1079508777571427
sub-003,up,75p,brain,CSF,59.65775223692567
sub-003,up,75p,brain,GM,29.816859958722244
sub-003,up,75p,brain,WM,12.094986510872392
sub-003,up,75p,brain,Brain,2.451413566051544
sub-003,up,95p,brain,CSF,57.68878726052364
sub-003,up,95p,brain,GM,29.98488793368245
sub-003,up,95p,brain,WM,12.193356704111324
sub-003,up,95p,brain,Brain,2.304483966491685
sub-003,down,full,brain,CSF,73.18465274944138
sub-003,down,full,brain,GM,35.83096736218492
sub-003,down,full,brain,WM,14.50907405877686
sub-003,down,full,brain,Brain,3.2457011779005884
sub-003,down,50p,brain,CSF,69.34340857389824
sub-003,down,50p,brain,GM,33.60759278248007
sub-003,down,50p,brain,WM,13.59813239393334
sub-003,down,50p,brain,Brain,2.8808097245290303
sub-003,down,75p,brain,CSF,67.95428158571367
sub-003,down,75p,brain,GM,33.03027224696397
sub-003,down,75p,brain,WM,13.378973284077777
