subject,position,reconstruction,tissue,dcte
sub-001,none,woBin,CSF,49.72466719172159
sub-001,none,woBin,GM,27.303948083542856
sub-001,none,woBin,WM,11.711751626661693
sub-001,none,woBin,Brain,2.1497736563674215
sub-001,up,full,CSF,49.11407725123384
sub-001,up,full,GM,27.109391432341656
sub-001,up,full,WM,11.596539049050616
sub-001,up,full,Brain,2.4885867290286128
sub-001,up,50p,CSF,52.297804686471075
sub-001,up,50p,GM,28.63445290249194
sub-001,up,50p,WM,12.245680887312728
sub-001,up,50p,Brain,2.533975642423621
sub-001,up,75p,CSF,49.366385407057415
sub-001,up,75p,GM,27.091158614088382
sub-001,up,75p,WM,11.603379407804223
sub-001,up,75p,Brain,2.28271856524048
sub-001,up,95p,CSF,46.48903264320965
sub-001,up,95p,GM,26.407978979075537
sub-001,up,95p,WM,11.374301543070837
sub-001,up,95p,Brain,2.1730043901750533
sub-001,down,full,CSF,48.923341380952664
sub-001,down,full,GM,27.8459023700085
sub-001,down,full,WM,11.863429000435278
sub-001,down,full,Brain,2.5491063997796037
sub-001,down,50p,CSF,48.79980367752657
sub-001,down,50p,GM,27.54525615343841
sub-001,down,50p,WM,11.724280399825778
sub-001,down,50p,Brain,2.4715803776400813
sub-001,down,75p,CSF,52.391768652949494
sub-001,down,75p,GM,29.522828581612636
sub-001,down,75p,WM,12.58869349960117
sub-001,down,75p,Brain,2.5147465061007535
sub-001,down,95p,CSF,41.61136388500397
sub-001,down,95p,GM,24.18278069048913
sub-001,down,95p,WM,10.36496009060434
sub-001,down,95p,Brain,1.99347360538915
sub-001,left,full,CSF,47.058037927195315
sub-001,left,full,GM,27.858518011556573
sub-001,left,full,WM,11.849486780665323
sub-001,left,full,Brain,2.5557523184413076
sub-001,left,50p,CSF,48.475011024186
sub-001,left,50p,GM,28.426838652156135
sub-001,left,50p,WM,12.070848386485938
sub-001,left,50p,Brain,2.544496414227347
sub-001,left,75p,CSF,54.59193872936244
sub-001,left,75p,GM,32.0288672016787
sub-001,left,75p,WM,13.621874334952503
sub-001,left,75p,Brain,2.738739677148351
sub-001,left,95p,CSF,44.53191681948345
sub-001,left,95p,GM,26.844384471742
sub-001,left,95p,WM,11.471492039674786
sub-001,left,95p,Brain,2.195444126530709
sub-001,right,full,CSF,47.67505411369224
sub-001,right,full,GM,27.158111121289412
