bids_name,cjv,cnr,efc,fber,fwhm_avg,fwhm_x,fwhm_y,fwhm_z,icvs_csf,icvs_gm,icvs_wm,inu_med,inu_range,qi_1,qi_2,rpve_csf,rpve_gm,rpve_wm,size_x,size_y,size_z,snr_csf,snr_gm,snr_total,snr_wm,snrd_csf,snrd_gm,snrd_total,snrd_wm,spacing_x,spacing_y,spacing_z,summary_bg_k,summary_bg_mad,summary_bg_mean,summary_bg_median,summary_bg_n,summary_bg_p05,summary_bg_p95,summary_bg_stdv,summary_csf_k,summary_csf_mad,summary_csf_mean,summary_csf_median,summary_csf_n,summary_csf_p05,summary_csf_p95,summary_csf_stdv,summary_gm_k,summary_gm_mad,summary_gm_mean,summary_gm_median,summary_gm_n,summary_gm_p05,summary_gm_p95,summary_gm_stdv,summary_wm_k,summary_wm_mad,summary_wm_mean,summary_wm_median,summary_wm_n,summary_wm_p05,summary_wm_p95,summary_wm_stdv,tpm_overlap_csf,tpm_overlap_gm,tpm_overlap_wm,wm2max,mask,position,reconstruction,subject,dcte_csf,dcte_gm,dcte_wm,dcte
sub-001_acq-down_rec-steva50p_T1w,3.3138685714285714,0.4052097073158988,0.4335,3888.9721,5.32544,4.84263,5.86967,5.26402,0.2343838420587504,0.3658984811032201,0.3997176768380295,0.2450405359268188,0.1302659064531326,0.0,0.0004525921153593,8.978397679281773,8.775902219279871,8.818700748528986,240,240,240,3.219728502589792,13.369208357421218,14.867502640597507,28.01357106178151,36.7254243446198,48.26349215342416,44.99028142752221,49.98192778452268,1.0,1.0,1.0,57.1989,13.3434,16.3877,9.0,4481348.0,0.0,58.0,27.0897,0.637,125.001,710.6699,748.0,357699.0410678545,240.0,1046.0,232.3174,0.8767,83.3648,979.2241,983.0,558406.8196390419,849.0,1092.0,73.5271,1.849,32.6206,1017.8194,1018.0,610019.1397451145,960.0,1077.0,36.3395,0.2095310106461311,0.5019363017098617,0.4937933205768093,0.8817006044516822,brain,down,50p,sub-001,48.79980367752657,27.54525615343841,11.724280399825778,2.4715803776400813
sub-001_acq-down_rec-steva75p_T1w,3.465078787878788,0.3885997586586763,0.4336,3839.5727,5.521069999999999,5.00404,6.05719,5.50198,0.2316962274167373,0.3687492790555943,0.3995544935276683,0.246251568198204,0.1345727987587451,0.0,0.0004847688089237,9.004059438401109,8.797768939196862,8.840245573091304,240,240,240,3.3136927087178685,13.855756495340266,15.158952254552892,28.307407559600534,42.3655755766896,54.84878298259813,51.29530358829084,56.67155220558478,1.0,1.0,1.0,65.0636,11.8608,16.3732,8.0,4500207.0,0.0,57.0,27.5974,0.8168,120.4094,728.883,767.0,352574.00295840204,253.0,1059.0,231.4635,0.78,82.2089,989.847,993.0,561128.7281376941,864.0,1101.0,71.6669,1.9385,32.1387,1026.1025,1026.0,608005.2694586541,968.0,1085.0,36.2449,0.213119374949031,0.5069744266029861,0.4975828199346988,0.8835691879715069,brain,down,75p,sub-001,52.39176865294949,29.52282858161264,12.58869349960117,2.514746506100753
sub-001_acq-down_rec-steva95p_T1w,3.4756000000000005,0.3762761657415867,0.4318,3659.643,6.341146666666667,5.81268,6.8149,6.39586,0.2287964393848518,0.3767583007208891,0.394445259894259,0.2404507249593734,0.1311862803995609,0.0,0.0005757309986145,9.23397953457959,9.017223811120246,9.060190526786409,240,240,240,3.765254854022365,15.11240873489134,15.626600940961676,28.00213923397132,42.641752731687575,53.02601375961149,50.09853591663295,54.62784125859976,1.0,1.0,1.0,89.3602,11.8608,14.8452,8.0,4502036.0,0.0,51.0,25.6369,1.4534,102.7853,741.2953,772.0,339432.3305640412,325.0,1031.0,205.0323,0.9089,70.8585,959.9101,960.0,558942.0378082431,852.0,1061.0,63.5239,2.7658,29.9339,989.0702,989.0,585181.632222165,932.0,1046.0,35.3187,0.2167127135394182,0.5197584055765037,0.5047063931488109,0.8829831580465972,brain,down,95p,sub-001,41.61136388500397,24.18278069048913,10.36496009060434,1.99347360538915
sub-001_acq-down_rec-stevafull_T1w,3.314191176470588,0.4028699693630755,0.4331,4059.1601,5.339893333333333,4.87366,5.90016,5.24586,0.2329826753168417,0.3653245449656251,0.4016927797175331,0.2467099577188491,0.1322548128664493,0.0,0.0004578833748566,8.969193025213016,8.768090628846982,8.81062432536031,240,240,240,3.2120446276702066,13.499673701837516,15.115485962448654,28.634739557838245,40.81898350870093,53.63360350060704,49.98806505463375,55.51160815459328,1.0,1.0,1.0,59.2607,11.8608,16.1169,8.0,4492902.0,0.0,57.0,26.7775,0.5767,123.616,700.679,739.0,355953.26128671365,234.0,1032.0,230.0712,0.9369,81.0572,966.8745,971.0,558146.4932178105,839.0,1077.0,71.9276,1.6216,31.6253,1005.3776,1005.0,613710.2459714328,949.0,1062.0,35.0972,0.2114752236686279,0.5001147626154552,0.4943494524980415,0.8830358770598543,brain,down,full,sub-001,48.92334138095266,27.8459023700085,11.863429000435278,2.549106399779604
sub-001_acq-left_rec-steva50p_T1w,3.0348351351351357,0.4311969509888733,0.4327,4068.0479,5.31247,4.83959,5.83652,5.2613,0.234294495935815,0.3652601374922821,0.4004453665719029,0.2445919513702392,0.128964178264141,0.0,0.000454063841987,8.980301452604046,8.779738271894649,8.822792236397127,240,240,240,3.203969146595601,13.217322396203096,14.773255695135168,27.898475542606807,40.43233549170376,53.41266177660866,49.76712333063536,55.45637272359369,1.0,1.0,1.0,54.5888,11.8608,16.0682,8.0,4495875.0,0.0,57.0,26.744,0.5727,125.6496,696.438,732.0,357504.8169849254,238.0,1029.0,228.4663,1.1657,79.7111,963.7888,967.0,557342.408256317,835.0,1076.0,73.1615,1.6611,32.5778,1003.7802,1004.0,611030.7752511973,946.0,1062.0,35.9876,0.2109151392519763,0.5011760909575612,0.4945571632149844,0.8825895527196435,brain,left,50p,sub-001,48.475011024186,28.42683865215613,12.070848386485938,2.544496414227347
sub-001_acq-left_rec-steva75p_T1w,3.428567647058824,0.3949074358757081,0.4326,4138.7778,5.4942866666666665,4.97603,6.03214,5.47469,0.2322621085339264,0.3673982605460284,0.4003396309200451,0.2438052147626876,0.1301854602992534,0.0,0.0004337278933916,8.981925708195524,8.777440937179353,8.819764596065177,240,240,240,3.2189517060635424,13.433244003543782,14.798389911136688,27.742974023802734,41.26086695669769,54.29642867260219,50.5772429852961,56.17443332658843,1.0,1.0,1.0,64.329,11.8608,15.8584,8.0,4504530.0,0.0,56.0,26.7194,0.6049,126.7461,710.19,747.0,354355.7957416433,244.0,1046.0,232.0628,0.8745,83.7081,979.4314,983.0,560529.2391068891,851.0,1092.0,73.1766,1.9099,32.8632,1017.419,1017.0,610786.9655409872,959.0,1077.0,36.6579,0.2123417132894861,0.5044589766810403,0.4965646794927384,0.8810062744012735,brain,left,75p,sub-001,54.59193872936244,32.0288672016787,13.621874334952505,2.738739677148351
sub-001_acq-left_rec-steva95p_T1w,3.0756911764705883,0.4195968407894819,0.4278,3883.6535,6.358996666666667,5.76448,6.86566,6.44685,0.234180740020459,0.3723611195264185,0.3934581404531225,0.2275345027446746,0.1186000436544418,0.0,0.0005061582604961,9.221253918095844,9.013001808799398,9.056229231382696,240,240,240,3.640436111804304,14.448435057959651,15.326343014824308,27.89015787470897,42.641752731687575,54.35166410360178,51.074361864292456,56.229668757588016,1.0,1.0,1.0,79.8269,11.8608,14.4002,8.0,4510918.0,0.0,49.0,24.4015,1.1818,116.0398,741.9589,772.0,348007.80156587344,323.0,1049.0,212.0622,1.3123,72.7887,983.365,984.0,553352.8273233541,867.0,1091.0,68.1042,2.8321,31.7848,1018.189,1018.0,584704.3717400728,960.0,1076.0,36.5003,0.2076100833833967,0.5141288104438719,0.5007108888841955,0.8862654984781325,brain,left,95p,sub-001,44.53191681948345,26.844384471742,11.471492039674786,2.195444126530709
sub-001_acq-left_rec-stevafull_T1w,3.0892111111111107,0.4252755973831139,0.4315,4270.948,5.350383333333333,4.89067,5.91855,5.24193,0.2346530198476818,0.3641383505323139,0.4012086296200042,0.2432520389556884,0.1276494860649108,0.0,0.0004591254171121,8.978788019574061,8.777894781313023,8.819915115116281,240,240,240,3.2105022505781378,13.462550757686175,15.058913434695052,28.503687295820843,40.65327721570215,53.74407436260623,50.04330048563335,55.73254987859166,1.0,1.0,1.0,56.71,11.8608,15.8681,8.0,4504467.0,0.0,56.0,26.2508,0.5314,127.5676,698.6234,736.0,358182.1131648114,239.0,1032.0,229.2473,1.0726,78.9998,969.6379,973.0,555832.7950037739,841.0,1080.0,72.2745,1.326,32.2118,1009.1261,1009.0,612418.0923413372,952.0,1066.0,35.3989,0.208059651278425,0.4976787954609164,0.4922562784020954,0.8858564503074597,brain,left,full,sub-001,47.05803792719532,27.858518011556573,11.849486780665323,2.555752318441308
sub-001_acq-right_rec-steva50p_T1w,3.158988888888889,0.4137193090921303,0.4323,4079.3627,5.347786666666667,4.85389,5.88531,5.30416,0.2346564603733164,0.3666402861699838,0.3987032534566999,0.2402477264404297,0.1271799750626087,0.0,0.0004434497184984,8.988188484094454,8.78585480946962,8.828936543149958,240,240,240,3.225545268108882,13.37786921418591,14.80706662693316,27.81778539850469,41.64751497369486,54.62784125859976,50.96389100229326,56.61631677458518,1.0,1.0,1.0,60.7225,11.8608,16.2893,8.0,4496221.0,0.0,58.0,27.3616,0.6801,125.6588,716.5943,754.0,357722.51044459594,242.0,1054.0,233.7586,1.0425,80.8923,986.1213,989.0,558925.5177129819,856.0,1100.0,73.928,1.9632,32.8313,1025.2868,1025.0,607803.9723349424,966.0,1085.0,36.8469,0.2103925609353246,0.5041223459690695,0.4960585663128661,0.8816812441423009,brain,right,50p,sub-001,51.76261751210311,29.238724921393644,12.563391203194936,2.637559849385831
sub-001_acq-right_rec-steva75p_T1w,3.2409470588235294,0.4054544217928405,0.4314,4123.7483,5.6223600000000005,5.06717,6.16342,5.63649,0.2343394281482064,0.3676424438332937,0.3980181280184997,0.2393843680620193,0.1271153688430786,0.0,0.0005020741422234,9.02066804133244,8.815619546936288,8.857820245872846,240,240,240,3.319094216334301,13.751983491094936,14.97117511712611,27.8424476439491,41.205631525698095,53.854545224605424,50.26424220963173,55.73254987859166,1.0,1.0,1.0,63.4819,11.8608,15.6095,8.0,4496273.0,0.0,55.0,26.3053,0.7659,123.7529,711.5964,746.0,355999.3201209004,259.0,1037.0,224.7598,1.1133,78.0283,972.3203,975.0,558508.06279797,848.0,1082.0,70.8988,1.8821,32.1639,1009.5875,1009.0,604653.6175754676,951.0,1068.0,36.2396,0.2105597869727888,0.5049194854559068,0.4956361313582015,0.8844158694632491,brain,right,75p,sub-001,48.707888084901136,27.60005311705634,11.888027217311048,2.376486843327027
