metric,region,woBin,full,50p,75p,95p
SSIM,Brain,0.9333 ± 0.0149 (+0.00%),ref,0.9298 ± 0.0158 (-0.37%),0.8788 ± 0.0260 (-5.84%),0.7906 ± 0.0299 (-15.28%)
SSIM,CSF,0.9391 ± 0.0130 (+0.00%),ref,0.9327 ± 0.0159 (-0.67%),0.8711 ± 0.0300 (-7.24%),0.7469 ± 0.0410 (-20.47%)
SSIM,GM,0.9288 ± 0.0170 (+0.00%),ref,0.9245 ± 0.0180 (-0.46%),0.8668 ± 0.0325 (-6.68%),0.7578 ± 0.0422 (-18.41%)
SSIM,WM,0.9453 ± 0.0150 (+0.00%),ref,0.9331 ± 0.0181 (-1.29%),0.8901 ± 0.0304 (-5.84%),0.8229 ± 0.0343 (-12.95%)
SSIM,Eyes,0.8877 ± 0.0376 (+0.00%),ref,0.9026 ± 0.0299 (+1.68%),0.8421 ± 0.0375 (-5.14%),0.7265 ± 0.0350 (-18.16%)
SSIM,WholeVolume,0.9712 ± 0.0080 (+0.00%),ref,0.9720 ± 0.0077 (+0.08%),0.9432 ± 0.0142 (-2.88%),0.8390 ± 0.0339 (-13.61%)
DCTE,Brain,2.4513 ± 0.3979 (-14.89%),2.8799 ± 0.3667 (+0.00%),2.6470 ± 0.2737 (-8.09%),2.3585 ± 0.2955 (-18.11%),2.0464 ± 0.1394 (-28.94%)
DCTE,CSF,60.2646 ± 14.8871 (+1.62%),59.3059 ± 11.1490 (+0.00%),57.0978 ± 8.8824 (-3.72%),53.2707 ± 8.0856 (-10.18%),46.1101 ± 5.1334 (-22.25%)
DCTE,GM,31.3747 ± 6.1674 (-0.21%),31.4408 ± 4.5040 (+0.00%),30.0414 ± 3.4997 (-4.45%),28.1593 ± 3.7550 (-10.44%),25.3483 ± 2.1086 (-19.38%)
DCTE,WM,12.9562 ± 2.3328 (+0.25%),12.9233 ± 1.6480 (+0.00%),12.3533 ± 1.3606 (-4.41%),11.6176 ± 1.6119 (-10.10%),10.4934 ± 0.9193 (-18.80%)
DCTE,Eyes,24.5426 ± 0.4433 (-9.05%),26.9859 ± 1.3069 (+0.00%),25.3900 ± 2.5384 (-5.91%),23.0798 ± 3.8462 (-14.47%),20.5647 ± 3.0389 (-23.79%)
DCTE,WholeVolume,1.0956 ± 0.1117 (-19.97%),1.3690 ± 0.0916 (+0.00%),1.2414 ± 0.0603 (-9.32%),1.0580 ± 0.1122 (-22.72%),0.7885 ± 0.0836 (-42.40%)
CJV,Brain,2.3589 ± 0.4524 (-14.64%),2.7635 ± 0.4351 (+0.00%),2.7565 ± 0.3658 (-0.25%),2.8617 ± 0.4233 (+3.55%),3.6259 ± 0.6163 (+31.21%)
CNR,Brain,0.5104 ± 0.0560 (+12.81%),0.4524 ± 0.0503 (+0.00%),0.4514 ± 0.0440 (-0.22%),0.4362 ± 0.0599 (-3.59%),0.3598 ± 0.0763 (-20.48%)
EFC,Brain,0.4406 ± 0.0429 (-1.58%),0.4476 ± 0.0433 (+0.00%),0.4477 ± 0.0433 (+0.02%),0.4477 ± 0.0452 (+0.02%),0.4503 ± 0.0484 (+0.59%)
FBER,Brain,5157.7041 ± 3627.8563 (+34.36%),3838.8224 ± 2703.3698 (+0.00%),3794.6201 ± 2667.7519 (-1.15%),3859.2159 ± 2732.6444 (+0.53%),2923.2472 ± 1753.0879 (-23.85%)
FWHM,Brain,5.7073 ± 0.6282 (+9.66%),5.2043 ± 0.5092 (+0.00%),5.2683 ± 0.4630 (+1.23%),5.4944 ± 0.4267 (+5.57%),6.3747 ± 0.3529 (+22.49%)
QI2,Brain,0.0004 ± 0.0000 (+7.45%),0.0004 ± 0.0001 (+0.00%),0.0004 ± 0.0001 (-2.24%),0.0004 ± 0.0001 (-2.63%),0.0004 ± 0.0002 (-4.53%)
INU,Brain,0.2444 ± 0.0398 (-9.12%),0.2689 ± 0.0416 (+0.00%),0.2686 ± 0.0416 (-0.11%),0.2689 ± 0.0475 (-0.02%),0.2762 ± 0.0642 (+2.70%)
WM2MAX,Brain,0.9069 ± 0.0065 (+2.16%),0.8877 ± 0.0059 (+0.00%),0.8869 ± 0.0065 (-0.10%),0.8872 ± 0.0073 (-0.06%),0.8792 ± 0.0082 (-0.96%)
SNR,Brain,15.8842 ± 0.6238 (+8.16%),14.6858 ± 0.3791 (+0.00%),14.6368 ± 0.3923 (-0.33%),14.8329 ± 0.1788 (+1.00%),15.0611 ± 0.5069 (+2.56%)
SNR,CSF,2.9166 ± 0.2186 (-1.97%),2.9752 ± 0.2139 (+0.00%),3.0039 ± 0.2082 (+0.96%),3.0767 ± 0.1841 (+3.41%),3.6276 ± 0.2410 (+21.92%)
SNR,GM,13.0618 ± 0.7871 (+1.95%),12.8120 ± 0.5612 (+0.00%),12.8480 ± 0.4588 (+0.28%),13.2528 ± 0.3168 (+3.44%),14.3039 ± 0.6950 (+11.64%)
SNR,WM,31.6742 ± 1.1360 (+12.04%),28.2701 ± 0.5963 (+0.00%),28.0586 ± 0.7538 (-0.75%),28.1694 ± 0.4838 (-0.36%),27.2518 ± 0.8720 (-3.60%)
SNRD,Brain,49.3678 ± 18.7072 (+12.25%),43.9815 ± 15.3960 (+0.00%),43.7360 ± 15.0923 (-0.56%),46.5984 ± 18.5283 (+5.95%),43.9378 ± 17.7224 (-0.10%)
SNRD,CSF,39.0203 ± 15.5128 (+10.44%),35.3301 ± 12.8315 (+0.00%),35.2276 ± 12.6234 (-0.29%),37.7892 ± 15.0999 (+6.96%),37.1379 ± 14.7714 (+5.12%)
SNRD,GM,53.3499 ± 19.9059 (+12.75%),47.3187 ± 16.3470 (+0.00%),47.0134 ± 16.0095 (-0.65%),50.0009 ± 19.7961 (+5.67%),46.5870 ± 18.8383 (-1.55%)
SNRD,WM,55.7333 ± 20.7066 (+13.06%),49.2956 ± 17.0189 (+0.00%),48.9671 ± 16.6480 (-0.67%),52.0050 ± 20.6950 (+5.50%),48.0884 ± 19.5693 (-2.45%)
