subject,position,comparison,mask,region,ssim
sub-001,up,50p,volume,WholeVolume,0.9667980276696034
sub-001,up,75p,volume,WholeVolume,0.9463988987249464
sub-001,up,95p,volume,WholeVolume,0.8652193997405185
sub-001,up,woBin,volume,WholeVolume,0.958567476534046
sub-001,down,50p,volume,WholeVolume,0.9692273364479036
sub-001,down,75p,volume,WholeVolume,0.9515114717059356
sub-001,down,95p,volume,WholeVolume,0.8608787206876196
sub-001,down,woBin,volume,WholeVolume,0.9658928619149708
sub-001,left,50p,volume,WholeVolume,0.9682000223594146
sub-001,left,75p,volume,WholeVolume,0.9458240276833147
sub-001,left,95p,volume,WholeVolume,0.8751290453038085
sub-001,left,woBin,volume,WholeVolume,0.9685279468192062
sub-001,right,50p,volume,WholeVolume,0.9650062134523162
sub-001,right,75p,volume,WholeVolume,0.9433483772529296
sub-001,right,95p,volume,WholeVolume,0.8390588267274781
sub-001,right,woBin,volume,WholeVolume,0.9588589021835466
sub-002,up,50p,volume,WholeVolume,0.9754125572381556
sub-002,up,75p,volume,WholeVolume,0.939230750804269
sub-002,up,95p,volume,WholeVolume,0.8274349571266322
sub-002,up,woBin,volume,WholeVolume,0.973494022629512
sub-002,down,50p,volume,WholeVolume,0.9539520469252232
sub-002,down,75p,volume,WholeVolume,0.9173628089676548
sub-002,down,95p,volume,WholeVolume,0.7745789265462417
sub-002,down,woBin,volume,WholeVolume,0.9706741498399392
sub-002,left,50p,volume,WholeVolume,0.9731985951152684
sub-002,left,75p,volume,WholeVolume,0.9431710593974312
sub-002,left,95p,volume,WholeVolume,0.8380645641159584
sub-002,left,woBin,volume,WholeVolume,0.9717499586998736
sub-002,right,50p,volume,WholeVolume,0.9751576780181002
sub-002,right,75p,volume,WholeVolume,0.924499541829332
sub-002,right,95p,volume,WholeVolume,0.7877336175615587
sub-002,right,woBin,volume,WholeVolume,0.9713341251866866
sub-003,up,50p,volume,WholeVolume,0.9806140676286884
sub-003,up,75p,volume,WholeVolume,0.9274851287919912
sub-003,up,95p,volume,WholeVolume,0.8800079998708172
sub-003,up,woBin,volume,WholeVolume,0.9836946983646538
sub-003,down,50p,volume,WholeVolume,0.9783096407001238
sub-003,down,75p,volume,WholeVolume,0.9627192363358164
sub-003,down,95p,volume,WholeVolume,0.8338228734564267
sub-003,down,woBin,volume,WholeVolume,0.9725068498222376
sub-003,left,50p,volume,WholeVolume,0.9780007806436573
sub-003,left,75p,volume,WholeVolume,0.9569198233805944
sub-003,left,95p,volume,WholeVolume,0.8703775326122264
sub-003,left,woBin,volume,WholeVolume,0.973922051145374
sub-003,right,50p,volume,WholeVolume,0.979965354855813
sub-003,right,75p,volume,WholeVolume,0.960307389331206
sub-003,right,95p,volume,WholeVolume,0.8153758555047591
sub-003,right,woBin,volume,WholeVolume,0.9850428575961838
sub-001,up,50p,brain,CSF,0.9361438251994711
sub-001,up,50p,brain,GM,0.9254103912450428
sub-001,up,50p,brain,WM,0.9320136375670164
sub-001,up,50p,brain,Brain,0.9265941684441494
sub-001,up,75p,brain,CSF,0.8920565100085381
sub-001,up,75p,brain,GM,0.8820269550776493
sub-001,up,75p,brain,WM,0.9008751980888106
sub-001,up,75p,brain,Brain,0.8853420338625536
sub-001,up,95p,brain,CSF,0.790691084047026
sub-001,up,95p,brain,GM,0.7996024002849517
sub-001,up,95p,brain,WM,0.8590037743487822
sub-001,up,95p,brain,Brain,0.8124295427720085
sub-001,up,woBin,brain,CSF,0.9374942836262968
sub-001,up,woBin,brain,GM,0.925240111400831
sub-001,up,woBin,brain,WM,0.9402000659505696
sub-001,up,woBin,brain,Brain,0.9258998133098486
sub-001,down,50p,brain,CSF,0.9395493361198608
sub-001,down,50p,brain,GM,0.9303386646824908
sub-001,down,50p,brain,WM,0.9356677481376974
sub-001,down,50p,brain,Brain,0.932466401997328
sub-001,down,75p,brain,CSF,0.8995123250947857
sub-001,down,75p,brain,GM,0.892192186073766
sub-001,down,75p,brain,WM,0.9117168874902418
sub-001,down,75p,brain,Brain,0.8957885532745538
sub-001,down,95p,brain,CSF,0.7844765846520053
sub-001,down,95p,brain,GM,0.7960397837076278
sub-001,down,95p,brain,WM,0.8505355078014776
sub-001,down,95p,brain,Brain,0.8132042613417048
sub-001,down,woBin,brain,CSF,0.9432740406653596
sub-001,down,woBin,brain,GM,0.9323924494815936
sub-001,down,woBin,brain,WM,0.9466098573671682
sub-001,down,woBin,brain,Brain,0.935210070098809
sub-001,left,50p,brain,CSF,0.9405395308029524
sub-001,left,50p,brain,GM,0.9304108647364712
sub-001,left,50p,brain,WM,0.9349150653437486
sub-001,left,50p,brain,Brain,0.932160731165768
sub-001,left,75p,brain,CSF,0.8935283227588281
sub-001,left,75p,brain,GM,0.8858138814730315
sub-001,left,75p,brain,WM,0.9057620782012014
sub-001,left,75p,brain,Brain,0.8887356549207067
sub-001,left,95p,brain,CSF,0.8039196727365158
sub-001,left,95p,brain,GM,0.8101391430029692
sub-001,left,95p,brain,WM,0.8656732302094827
sub-001,left,95p,brain,Brain,0.8255450190249329
sub-001,left,woBin,brain,CSF,0.9466293592063564
sub-001,left,woBin,brain,GM,0.936879137833318
sub-001,left,woBin,brain,WM,0.9489904732597364
sub-001,left,woBin,brain,Brain,0.9383883047622208
sub-001,right,50p,brain,CSF,0.9337546045204778
sub-001,right,50p,brain,GM,0.923208263962915
sub-001,right,50p,brain,WM,0.9328347523022004
