subject,position,comparison,tissue,ssim
sub-001,up,50p,CSF,0.9361438251994711
sub-001,up,50p,GM,0.9254103912450429
sub-001,up,50p,WM,0.9320136375670164
sub-001,up,50p,Brain,0.9265941684441494
sub-001,up,75p,CSF,0.8920565100085381
sub-001,up,75p,GM,0.8820269550776493
sub-001,up,75p,WM,0.9008751980888106
sub-001,up,75p,Brain,0.8853420338625536
sub-001,up,95p,CSF,0.790691084047026
sub-001,up,95p,GM,0.7996024002849517
sub-001,up,95p,WM,0.8590037743487822
sub-001,up,95p,Brain,0.8124295427720085
sub-001,up,woBin,CSF,0.9374942836262968
sub-001,up,woBin,GM,0.925240111400831
sub-001,up,woBin,WM,0.9402000659505696
sub-001,up,woBin,Brain,0.9258998133098486
sub-001,down,50p,CSF,0.9395493361198609
sub-001,down,50p,GM,0.9303386646824907
sub-001,down,50p,WM,0.9356677481376974
sub-001,down,50p,Brain,0.932466401997328
sub-001,down,75p,CSF,0.8995123250947857
sub-001,down,75p,GM,0.892192186073766
sub-001,down,75p,WM,0.9117168874902418
sub-001,down,75p,Brain,0.8957885532745538
sub-001,down,95p,CSF,0.7844765846520053
sub-001,down,95p,GM,0.7960397837076278
sub-001,down,95p,WM,0.8505355078014776
sub-001,down,95p,Brain,0.8132042613417048
sub-001,down,woBin,CSF,0.9432740406653596
sub-001,down,woBin,GM,0.9323924494815935
sub-001,down,woBin,WM,0.9466098573671682
sub-001,down,woBin,Brain,0.935210070098809
sub-001,left,50p,CSF,0.9405395308029523
sub-001,left,50p,GM,0.9304108647364712
sub-001,left,50p,WM,0.9349150653437486
sub-001,left,50p,Brain,0.932160731165768
sub-001,left,75p,CSF,0.8935283227588281
sub-001,left,75p,GM,0.8858138814730315
sub-001,left,75p,WM,0.9057620782012014
sub-001,left,75p,Brain,0.8887356549207067
sub-001,left,95p,CSF,0.8039196727365158
sub-001,left,95p,GM,0.8101391430029692
sub-001,left,95p,WM,0.8656732302094827
sub-001,left,95p,Brain,0.8255450190249329
sub-001,left,woBin,CSF,0.9466293592063564
sub-001,left,woBin,GM,0.936879137833318
sub-001,left,woBin,WM,0.9489904732597365
sub-001,left,woBin,Brain,0.9383883047622209
sub-001,right,50p,CSF,0.9337546045204778
sub-001,right,50p,GM,0.923208263962915
sub-001,right,50p,WM,0.9328347523022004
sub-001,right,50p,Brain,0.9260325070539821
sub-001,right,75p,CSF,0.8894979702895605
sub-001,right,75p,GM,0.8800694917274119
sub-001,right,75p,WM,0.902878823871618
sub-001,right,75p,Brain,0.8855187009466701
sub-001,right,95p,CSF,0.7670694690774397
sub-001,right,95p,GM,0.778754141640565
sub-001,right,95p,WM,0.8423640042761072
sub-001,right,95p,Brain,0.7996963311683731
sub-001,right,woBin,CSF,0.9359192216499495
sub-001,right,woBin,GM,0.9238692319381543
sub-001,right,woBin,WM,0.9409228060750654
sub-001,right,woBin,Brain,0.9268936359074533
sub-002,up,50p,CSF,0.9305301151071519
sub-002,up,50p,GM,0.9168486821861906
sub-002,up,50p,WM,0.9222274264203532
sub-002,up,50p,Brain,0.9232110519722878
sub-002,up,75p,CSF,0.8472387397056045
sub-002,up,75p,GM,0.8356537380558082
sub-002,up,75p,WM,0.8584009822289048
sub-002,up,75p,Brain,0.8543879693644754
sub-002,up,95p,CSF,0.7236604016970627
sub-002,up,95p,GM,0.731679185254841
sub-002,up,95p,WM,0.8058360689735404
sub-002,up,95p,Brain,0.7719733174191569
sub-002,up,woBin,CSF,0.9297660976870965
sub-002,up,woBin,GM,0.9137406180196943
sub-002,up,woBin,WM,0.9307923255934041
sub-002,up,woBin,Brain,0.9206657015326274
sub-002,down,50p,CSF,0.887191574304878
sub-002,down,50p,GM,0.8791483602945448
sub-002,down,50p,WM,0.8913315121704541
sub-002,down,50p,Brain,0.8924178546571597
sub-002,down,75p,CSF,0.8140623661123971
sub-002,down,75p,GM,0.8086646923719779
sub-002,down,75p,WM,0.8401990194990278
sub-002,down,75p,Brain,0.8344188138148828
sub-002,down,95p,CSF,0.6759112866675465
sub-002,down,95p,GM,0.685982449363295
sub-002,down,95p,WM,0.7682633674253746
sub-002,down,95p,Brain,0.7407322178837967
sub-002,down,woBin,CSF,0.9157527035539246
sub-002,down,woBin,GM,0.9030143467778542
sub-002,down,woBin,WM,0.9269141399806402
sub-002,down,woBin,Brain,0.9154944713529415
sub-002,left,50p,CSF,0.9246857668593188
sub-002,left,50p,GM,0.9106842392851631
sub-002,left,50p,WM,0.9165640092913986
sub-002,left,50p,Brain,0.9179629454585776
sub-002,left,75p,CSF,0.8534362856505988
sub-002,left,75p,GM,0.842087863033838
sub-002,left,75p,WM,0.8643887449066373
sub-002,left,75p,Brain,0.8592687677219486
sub-002,left,95p,CSF,0.7471269092344095
sub-002,left,95p,GM,0.7521288514351305
sub-002,left,95p,WM,0.8263097451075544
sub-002,left,95p,Brain,0.7886141510624947
sub-002,left,woBin,CSF,0.9288563525794864
sub-002,left,woBin,GM,0.912749984037362
sub-002,left,woBin,WM,0.9293381871770953
sub-002,left,woBin,Brain,0.9184397862213871
sub-002,right,50p,CSF,0.9281955449896443
sub-002,right,50p,GM,0.9156074093554502
sub-002,right,50p,WM,0.9254959492748519
sub-002,right,50p,Brain,0.9234336837660464
sub-002,right,75p,CSF,0.8258256870402473
sub-002,right,75p,GM,0.8174354579423453
sub-002,right,75p,WM,0.8436086424534477
sub-002,right,75p,Brain,0.8396565160915282
sub-002,right,95p,CSF,0.6999049556916959
sub-002,right,95p,GM,0.6999545051231241
sub-002,right,95p,WM,0.7793617459119235
sub-002,right,95p,Brain,0.7502685898680482
sub-002,right,woBin,CSF,0.9248769151724023
sub-002,right,woBin,GM,0.9098910245359099
sub-002,right,woBin,WM,0.9287678694107439
sub-002,right,woBin,Brain,0.9178115455108725
sub-003,up,50p,CSF,0.9475038294644134
sub-003,up,50p,GM,0.9461953878297347
sub-003,up,50p,WM,0.9560329311492693
sub-003,up,50p,Brain,0.9508829844423331
sub-003,up,75p,CSF,0.8585796318035228
sub-003,up,75p,GM,0.8662890439054898
sub-003,up,75p,WM,0.8917467486353635
sub-003,up,75p,Brain,0.8803151319815092
sub-003,up,95p,CSF,0.7820791856110416
sub-003,up,95p,GM,0.8016534097452142
sub-003,up,95p,WM,0.8562989075355645
sub-003,up,95p,Brain,0.8321026484291282
sub-003,up,woBin,CSF,0.9568877405892577
sub-003,up,woBin,GM,0.9538465779331516
sub-003,up,woBin,WM,0.9681728430860822
sub-003,up,woBin,Brain,0.9571284741125508
sub-003,down,50p,CSF,0.9375610940972348
sub-003,down,50p,GM,0.9352758548076712
sub-003,down,50p,WM,0.9480665166724529
sub-003,down,50p,Brain,0.9409352194248796
sub-003,down,75p,CSF,0.8939898444117846
sub-003,down,75p,GM,0.8982968190468172
sub-003,down,75p,WM,0.9242603729559499
sub-003,down,75p,Brain,0.9079236572173381
sub-003,down,95p,CSF,0.7225513460741042
sub-003,down,95p,GM,0.743346841186944
sub-003,down,95p,WM,0.8074800645259219
sub-003,down,95p,Brain,0.7820962949737917
sub-003,down,woBin,CSF,0.9428770332579164
sub-003,down,woBin,GM,0.9374558931033037
sub-003,down,woBin,WM,0.9562691631248246
sub-003,down,woBin,Brain,0.9403133114419283
sub-003,left,50p,CSF,0.9413667146640656
sub-003,left,50p,GM,0.9383499066623829
sub-003,left,50p,WM,0.9491418599512766
sub-003,left,50p,Brain,0.9436812503103773
sub-003,left,75p,CSF,0.888355480711399
sub-003,left,75p,GM,0.8923624332842806
sub-003,left,75p,WM,0.9154179434484707
sub-003,left,75p,Brain,0.9026668392278067
sub-003,left,95p,CSF,0.759381033692927
sub-003,left,95p,GM,0.7762448955141489
sub-003,left,95p,WM,0.8358506228274237
sub-003,left,95p,Brain,0.8099821113101844
sub-003,left,woBin,CSF,0.9462124523267801
sub-003,left,woBin,GM,0.9413166263766087
sub-003,left,woBin,WM,0.9583315240863383
sub-003,left,woBin,Brain,0.9441780776217574
sub-003,right,50p,CSF,0.94558650653299
sub-003,right,50p,GM,0.9430419396779232
sub-003,right,50p,WM,0.9527498526182826
sub-003,right,50p,Brain,0.9482933804531986
sub-003,right,75p,CSF,0.8969187325946419
sub-003,right,75p,GM,0.9006388395256414
sub-003,right,75p,WM,0.9224652949286897
sub-003,right,75p,Brain,0.9115812041722838
sub-003,right,95p,CSF,0.7056451516400075
sub-003,right,95p,GM,0.7184668010091366
sub-003,right,95p,WM,0.7783904828961171
sub-003,right,95p,Brain,0.760971956059165
sub-003,right,woBin,CSF,0.9600629460467094
sub-003,right,woBin,GM,0.9555276806651767
sub-003,right,woBin,WM,0.9685424771633501
sub-003,right,woBin,Brain,0.9588650611194142
