position,mask,region,comparison,n_subjects,mean_ssim,std_ssim,median_ssim
down,brain,Brain,woBin,3,0.9303392842978929,0.013106758622156687,0.935210070098809
down,brain,Brain,50p,3,0.9219398253597891,0.02591505899627629,0.932466401997328
down,brain,Brain,75p,3,0.8793770081022583,0.03940488056207744,0.8957885532745538
down,brain,Brain,95p,3,0.7786775913997644,0.03635677270243507,0.7820962949737917
down,brain,CSF,woBin,3,0.9339679258257335,0.015776094115114297,0.9428770332579164
down,brain,CSF,50p,3,0.9214340015073246,0.029671470171214458,0.9375610940972348
down,brain,CSF,75p,3,0.8691881785396558,0.0478201405795457,0.8939898444117846
down,brain,CSF,95p,3,0.7276464057978854,0.05446169026761159,0.7225513460741042
down,brain,Eyes,woBin,0,,,
down,brain,Eyes,50p,0,,,
down,brain,Eyes,75p,0,,,
down,brain,Eyes,95p,0,,,
down,brain,GM,woBin,3,0.9242875631209171,0.018596287680922474,0.9323924494815936
down,brain,GM,50p,3,0.9149209599282356,0.0310781776331447,0.9303386646824908
down,brain,GM,75p,3,0.8663845658308538,0.05007998083082096,0.892192186073766
down,brain,GM,95p,3,0.7417896914192891,0.05504518823016454,0.743346841186944
down,brain,WM,woBin,3,0.943264386824211,0.014960731125658456,0.9466098573671682
down,brain,WM,50p,3,0.9250219256602015,0.02982809642144834,0.9356677481376974
down,brain,WM,75p,3,0.8920587599817399,0.045347648992067856,0.9117168874902418
down,brain,WM,95p,3,0.808759646584258,0.0411509935262724,0.8074800645259219
down,brain,WholeVolume,woBin,0,,,
down,brain,WholeVolume,50p,0,,,
down,brain,WholeVolume,75p,0,,,
down,brain,WholeVolume,95p,0,,,
down,eyes,Brain,woBin,0,,,
down,eyes,Brain,50p,0,,,
down,eyes,Brain,75p,0,,,
down,eyes,Brain,95p,0,,,
down,eyes,CSF,woBin,0,,,
down,eyes,CSF,50p,0,,,
down,eyes,CSF,75p,0,,,
down,eyes,CSF,95p,0,,,
down,eyes,Eyes,woBin,3,0.885403222432247,0.03012858436413729,0.8857107768039112
down,eyes,Eyes,50p,3,0.8962297789629186,0.03034862965070106,0.882445469878931
down,eyes,Eyes,75p,3,0.8433442021776024,0.040203657034845346,0.8208031930422697
down,eyes,Eyes,95p,3,0.7164855753109954,0.030835080598067634,0.7169520135874109
down,eyes,GM,woBin,0,,,
down,eyes,GM,50p,0,,,
down,eyes,GM,75p,0,,,
down,eyes,GM,95p,0,,,
down,eyes,WM,woBin,0,,,
down,eyes,WM,50p,0,,,
down,eyes,WM,75p,0,,,
down,eyes,WM,95p,0,,,
down,eyes,WholeVolume,woBin,0,,,
down,eyes,WholeVolume,50p,0,,,
down,eyes,WholeVolume,75p,0,,,
down,eyes,WholeVolume,95p,0,,,
down,volume,Brain,woBin,0,,,
down,volume,Brain,50p,0,,,
down,volume,Brain,75p,0,,,
down,volume,Brain,95p,0,,,
down,volume,CSF,woBin,0,,,
down,volume,CSF,50p,0,,,
down,volume,CSF,75p,0,,,
down,volume,CSF,95p,0,,,
down,volume,Eyes,woBin,0,,,
down,volume,Eyes,50p,0,,,
down,volume,Eyes,75p,0,,,
down,volume,Eyes,95p,0,,,
down,volume,GM,woBin,0,,,
down,volume,GM,50p,0,,,
down,volume,GM,75p,0,,,
down,volume,GM,95p,0,,,
down,volume,WM,woBin,0,,,
down,volume,WM,50p,0,,,
down,volume,WM,75p,0,,,
down,volume,WM,95p,0,,,
down,volume,WholeVolume,woBin,3,0.9696912871923825,0.0034147801169825028,0.9706741498399392
down,volume,WholeVolume,50p,3,0.9671630080244169,0.012309312836457642,0.9692273364479036
down,volume,WholeVolume,75p,3,0.9438645056698022,0.023625377098983255,0.9515114717059356
down,volume,WholeVolume,95p,3,0.8230935068967627,0.04413902012154074,0.8338228734564267
left,brain,Brain,woBin,3,0.9336687228684551,0.013502620152828222,0.9383883047622208
left,brain,Brain,50p,3,0.931268308978241,0.012882356699498635,0.932160731165768
left,brain,Brain,75p,3,0.883557087290154,0.02215764709158107,0.8887356549207067
left,brain,Brain,95p,3,0.808047093799204,0.018541317959913553,0.8099821113101844
left,brain,CSF,woBin,3,0.9405660547042075,0.010143041739233565,0.94621245232678
left,brain,CSF,50p,3,0.9355306707754455,0.009401064514061074,0.9405395308029524
left,brain,CSF,75p,3,0.878440029706942,0.021807796457649044,0.888355480711399
left,brain,CSF,95p,3,0.7701425385546173,0.029886652317007358,0.759381033692927
left,brain,Eyes,woBin,0,,,
left,brain,Eyes,50p,0,,,
left,brain,Eyes,75p,0,,,
left,brain,Eyes,95p,0,,,
left,brain,GM,woBin,3,0.9303152494157629,0.015372922201169117,0.936879137833318
left,brain,GM,50p,3,0.9264816702280058,0.014245217266533872,0.9304108647364712
left,brain,GM,75p,3,0.87342139259705,0.027332461266279424,0.8858138814730315
left,brain,GM,95p,3,0.7795042966507495,0.02914217311343422,0.7762448955141489
left,brain,WM,woBin,3,0.9455533948410566,0.014799105625859163,0.9489904732597364
left,brain,WM,50p,3,0.9335403115288079,0.016332377335926906,0.9349150653437486
left,brain,WM,75p,3,0.8951895888521032,0.02710770968254348,0.9057620782012014
left,brain,WM,95p,3,0.842611199381487,0.020534118835488092,0.8358506228274237
left,brain,WholeVolume,woBin,0,,,
left,brain,WholeVolume,50p,0,,,
left,brain,WholeVolume,75p,0,,,
left,brain,WholeVolume,95p,0,,,
left,eyes,Brain,woBin,0,,,
left,eyes,Brain,50p,0,,,
left,eyes,Brain,75p,0,,,
left,eyes,Brain,95p,0,,,
left,eyes,CSF,woBin,0,,,
left,eyes,CSF,50p,0,,,
left,eyes,CSF,75p,0,,,
left,eyes,CSF,95p,0,,,
left,eyes,Eyes,woBin,3,0.8917392080914128,0.029658796029895743,0.8829454551347733
left,eyes,Eyes,50p,3,0.9036319234947712,0.032430277651245745,0.9027275583413358
left,eyes,Eyes,75p,3,0.848291801605178,0.039131185601393434,0.8358237518414908
left,eyes,Eyes,95p,3,0.739636030626786,0.032179132376547896,0.7213018007165733
left,eyes,GM,woBin,0,,,
left,eyes,GM,50p,0,,,
left,eyes,GM,75p,0,,,
left,eyes,GM,95p,0,,,
left,eyes,WM,woBin,0,,,
left,eyes,WM,50p,0,,,
left,eyes,WM,75p,0,,,
left,eyes,WM,95p,0,,,
left,eyes,WholeVolume,woBin,0,,,
left,eyes,WholeVolume,50p,0,,,
left,eyes,WholeVolume,75p,0,,,
left,eyes,WholeVolume,95p,0,,,
left,volume,Brain,woBin,0,,,
left,volume,Brain,50p,0,,,
left,volume,Brain,75p,0,,,
left,volume,Brain,95p,0,,,
left,volume,CSF,woBin,0,,,
left,volume,CSF,50p,0,,,
left,volume,CSF,75p,0,,,
left,volume,CSF,95p,0,,,
left,volume,Eyes,woBin,0,,,
left,volume,Eyes,50p,0,,,
left,volume,Eyes,75p,0,,,
left,volume,Eyes,95p,0,,,
left,volume,GM,woBin,0,,,
left,volume,GM,50p,0,,,
left,volume,GM,75p,0,,,
left,volume,GM,95p,0,,,
left,volume,WM,woBin,0,,,
left,volume,WM,50p,0,,,
left,volume,WM,75p,0,,,
left,volume,WM,95p,0,,,
