subject,position,comparison,ssim
sub-001,up,50p,0.9667980276696034
sub-001,up,75p,0.9463988987249463
sub-001,up,95p,0.8652193997405185
sub-001,up,woBin,0.958567476534046
sub-001,down,50p,0.9692273364479036
sub-001,down,75p,0.9515114717059356
sub-001,down,95p,0.8608787206876196
sub-001,down,woBin,0.9658928619149709
sub-001,left,50p,0.9682000223594146
sub-001,left,75p,0.9458240276833147
sub-001,left,95p,0.8751290453038085
sub-001,left,woBin,0.9685279468192062
sub-001,right,50p,0.9650062134523162
sub-001,right,75p,0.9433483772529297
sub-001,right,95p,0.8390588267274781
sub-001,right,woBin,0.9588589021835466
sub-002,up,50p,0.9754125572381555
sub-002,up,75p,0.939230750804269
sub-002,up,95p,0.8274349571266322
sub-002,up,woBin,0.9734940226295119
sub-002,down,50p,0.9539520469252233
sub-002,down,75p,0.9173628089676547
sub-002,down,95p,0.7745789265462417
sub-002,down,woBin,0.9706741498399392
sub-002,left,50p,0.9731985951152685
sub-002,left,75p,0.9431710593974312
sub-002,left,95p,0.8380645641159584
sub-002,left,woBin,0.9717499586998737
sub-002,right,50p,0.9751576780181002
sub-002,right,75p,0.924499541829332
sub-002,right,95p,0.7877336175615587
sub-002,right,woBin,0.9713341251866866
sub-003,up,50p,0.9806140676286884
sub-003,up,75p,0.9274851287919912
sub-003,up,95p,0.8800079998708172
sub-003,up,woBin,0.9836946983646538
sub-003,down,50p,0.9783096407001238
sub-003,down,75p,0.9627192363358165
sub-003,down,95p,0.8338228734564267
sub-003,down,woBin,0.9725068498222377
sub-003,left,50p,0.9780007806436571
sub-003,left,75p,0.9569198233805943
sub-003,left,95p,0.8703775326122264
sub-003,left,woBin,0.973922051145374
sub-003,right,50p,0.979965354855813
sub-003,right,75p,0.9603073893312061
sub-003,right,95p,0.8153758555047591
sub-003,right,woBin,0.9850428575961838
