subject,position,comparison,ssim
sub-001,up,50p,0.6033445487207564
sub-001,up,75p,0.5032466391302491
sub-001,up,95p,0.41523216240618555
sub-001,up,woBin,0.38167620832871396
sub-001,down,50p,0.6137203195922657
sub-001,down,75p,0.5318632763646913
sub-001,down,95p,0.4465457418161784
sub-001,down,woBin,0.4346734127921443
sub-001,left,50p,0.6139468699730283
sub-001,left,75p,0.5083127452708032
sub-001,left,95p,0.4311039215463691
sub-001,left,woBin,0.4261947714106655
sub-001,right,50p,0.6019915011225352
sub-001,right,75p,0.49816931024326805
sub-001,right,95p,0.4055249758799801
sub-001,right,woBin,0.37579765615014804
sub-002,up,50p,0.6220229422529593
sub-002,up,75p,0.5328045618378002
sub-002,up,95p,0.4276152381854181
sub-002,up,woBin,0.545196254570785
sub-002,down,50p,0.6253704560672528
sub-002,down,75p,0.5233212902038027
sub-002,down,95p,0.39579975827704467
sub-002,down,woBin,0.5307882334156377
sub-002,left,50p,0.6254535611398958
sub-002,left,75p,0.5196230627220023
sub-002,left,95p,0.41565190510890687
sub-002,left,woBin,0.5198473534161945
sub-002,right,50p,0.6318798523838073
sub-002,right,75p,0.5251272519721292
sub-002,right,95p,0.42254361192777856
sub-002,right,woBin,0.5188410325356563
sub-003,up,50p,0.6976525822141685
sub-003,up,75p,0.6035460986538334
sub-003,up,95p,0.5011576599699169
sub-003,up,woBin,0.5238694750591696
sub-003,down,50p,0.7072466199091789
sub-003,down,75p,0.6142123909762445
sub-003,down,95p,0.5164422858963565
sub-003,down,woBin,0.5728360159210005
sub-003,left,50p,0.7248465290203635
sub-003,left,75p,0.6696853532543384
sub-003,left,95p,0.5561590828379575
sub-003,left,woBin,0.6438804027046651
sub-003,right,50p,0.618480498083088
sub-003,right,75p,0.5903248769261511
sub-003,right,95p,0.4869889510531406
sub-003,right,woBin,0.5218548850952348
